institution,expenditure_rank,country,included,contacted,form_available,archived_link,access_details,sample_size,justification,calculation,comments,verbatim
Johns Hopkins University,1,us,1,1,public,https://web.archive.org/web/20230207160408/https%3A%2F%2Fwww.hopkinsmedicine.org%2Finstitutional_review_board%2Fforms%2F,"Select ""eFormA-Protocol""",0,1,99,"Other forms exist for low risk research, secondary research, and precision medicine. They mention sample size along with statistical plan, but they don't explicitly ask for a sample size calculation.","7.        Study Statistics
a.        Primary outcome variable.
b.        Secondary outcome variables.
c.        Statistical plan including sample size justification and interim data analysis.
"
University of Michigan (Ann Arbor),2,us,1,1,private,private,available upon request; we did not request have permission to share this publicly.,1,0,0,The document is a huge Microsoft Excel sheet,"*Please indicate the number of subjects to be enrolled from ALL study locations to achieve the goal of the study...*Please indicate the number of subjects required (from ALL study sources, sites, and locations combined) to achieve the goal of the study (the statistical ""n"" of the study):"
"University of California, San Francisco",3,us,0,1,noreply,NA,NA,NA,NA,NA,none provided,NA
University of Pennsylvania,4,us,0,1,noreply,NA,NA,NA,NA,NA,none provided,NA
"University of Washington, Seattle",5,us,1,0,public,https://web.archive.org/web/20231028002350/https://irb.ucsd.edu/_files/UCSD-Biomedical-Intervention-Protocol-Template-12.08.21.docx,"under the text ""APPLICATION IRB Protocol"" click on ""Download"".",1,0,0,The form asks respondents to justify if you CANNOT provide an estimate of the sample size. They don't ask to justify the sample size itself.,"2.9. Number of subjects. Is it possible to predict or describe the maximum number of subjects (or subject units) needed to complete the study, for each subject group?...No → Provide the rationale in the box below. Also, provide any other available information about the scope/size of the research. You do not need to complete the table."
"University of California, San Diego",6,us,1,1,public,https://web.archive.org/web/20231028002350/https://irb.ucsd.edu/_files/UCSD-Biomedical-Intervention-Protocol-Template-12.08.21.docx,the form will automatically download when opening the url provided,1,1,1,The text about sample size is copied from the NIH Clinical Trial Protocol Template,"9.2        SAMPLE SIZE DETERMINATION
Include number of participants to recruit, screen, and enroll to have adequate power to test the key hypotheses for the study.  Provide all information needed to validate your calculations and judge the feasibility of enrolling and following the necessary number of participants. In particular, specify all of the following: •        Outcome measure used for calculations (almost always the primary variable)
•        Test statistic
•        Null and alternative hypotheses
•        Type I error rate (alpha)
•        Power level (e.g., 80% power)
•        Assumed event rate for dichotomous outcome (or mean and variance of continuous outcome) for each study arm, justified and referenced by historical data as much as possible
•        Statistical method used to calculate the sample size, with a reference for it and for any software utilized 
•        Anticipated impact of dropout rates, withdrawal, cross-over to other study arms, missing data, etc. on study power (see also 9.4.2 Analysis of the Primary Efficacy Endpoint(s) and 9.4.3 Analysis of the Secondary Endpoint(s))
•        Method for adjusting calculations for planned interim analyses, if any (Section 9.4.6, Planned Interim Analyses).

Further, present calculations from a suitable range of assumptions to gauge the robustness of the proposed sample size.

Discuss whether the sample size provides sufficient power for addressing secondary endpoints or exploratory analyses (e.g., subgroup analyses or moderator analyses involving an interaction term, Section 9.4.9, Exploratory Analyses).

"
"University of California, Los Angeles",7,us,1,1,private,private,available upon request; we did not request have permission to share this publicly.,1,1,0,"The form states ""If applicable, indicate how the sample size was determined."" Whether they want a sample size calculation is somewhat ambiguous. They ask for a sample size determination after a phrase about stats, but the example sample size justification they provide does not include a calculation.","Indicate the anticipated total number of study participants that will be enrolled
across all of the institutions....*Statistics and Data Analysis: Describe the proposed statistical procedures or descriptive  
analyses for the study. If applicable, indicate how the sample size was determined. [example:] Sample size was determined by evaluating the number of medical students,
junior residents, senior residents, and attendings currently make up the UCLA
Orthopaedic Surgery Department. As the Department consists of 12 junior
residents (PGY 1/2), 18 senior residents (PGY 3/4/5), and many attendings, it
was determined that a total of 30 resident participants are likely available for
this study. Medical student group size was chosen to be consistent with junior
resident availability. The construct validity arm of the study will require 30
total participants. Ten junior residents, 15 senior residents, and 5 attendings.
The transferability arm of the study will require 20 total participants, 10
medical student and 10 Junior Residents: half trained and half untrained.Indicate the anticipated total number of study participants that will be enrolled
across all of the institutions.
"
University of Wisconsin-Madison,8,us,0,1,declined,NA,NA,NA,NA,NA,none provided,NA
Harvard University,9,us,0,1,declined,NA,NA,NA,NA,NA,none provided,NA
Stanford University,10,us,1,1,public,https://web.archive.org/web/20230206133629/https%3A%2F%2Fresearchcompliance.stanford.edu%2Fpanels%2Fhs%2Ffor-researchers%2Fforms-templates%2Fmedical,"Scroll down to ""eProtocol Forms:"" and then select ""Regular"", under ""Non-medical"".",1,0,0,The medical form was not publicly availabe. The non-medical form was available. We used the non-medical form for this reason. ,"8. Participant Population 
State the following: (i) the number of participants expected to be enrolled at Stanford-affiliated site(s); (ii)the total number of participants expected to enroll at all sites; (iii) the type of participants (i.e. students, patients with certain cancer, patients with certain cardiac condition) and the reasons for using such participants. "
